#,Document Title,Domain,Document Type,Issuing Agency,Effective / Issue Date,Governing Authority (Statute / Rule),Key Requirement,Pages,Text Source,Open PDF
1,"Suspension or Debarment of Bidders, Offerors or Contractors (1.4.7 NMAC)",Procurement,State regulation (NMAC rule),General Services Dept - State Purchasing Division,"August 30, 2013",Sections 13-1-177 through 13-1-180 NMSA 1978,Sets the procedure to suspend or debar contractors; debarment runs 3 months to 3 years.,7,Digital,Open PDF
2,Procurement Code Regulations (1.4.1 NMAC),Procurement,State regulation (NMAC rule),General Services Dept - State Purchasing Division,"June 21, 2022",Sections 9-17-5 and 13-1-95 NMSA 1978; implements Procurement Code 13-1-28 to 13-1-199,Master implementing rule for the Procurement Code across executive-branch agencies; lists 11 exemptions.,28,Digital,Open PDF
3,Approval of Contracts for the Purchase of Professional Services (1.4.10 NMAC),Procurement,State regulation (NMAC rule),General Services Dept - Contracts Review Bureau,"June 21, 2022",Section 6-5-9 NMSA 1978; Procurement Code 13-1-28 to 13-1-199,"GSD Contracts Review Bureau must review and approve professional-services contracts over $5,000.",5,Digital,Open PDF
4,Professional Services vs. General Services - Services Determination,Procurement,Guidance / determination (non-rule),State Purchasing Division,November 2022,Sections 13-1-76 and 13-1-87 NMSA 1978,Distinguishes professional from general services; agencies must get a State Purchasing Agent determination when a service is unlisted or ambiguous.,3,Digital,Open PDF
5,Design and Build Project Delivery Systems (1.5.7 NMAC),Procurement,State regulation (NMAC rule),General Services Dept - State Purchasing Division,"April 15, 1998 (recompiled Nov 30, 2001)",Section 13-1-119.1 NMSA 1978,"Rules for procuring design-build project delivery; binding on using agencies, excludes road and highway work.",6,OCR (scanned image),Open PDF
6,"Best Value Procurement Guide, Part 1 - Developing Request for RFPs",Procurement,Guidance / guide (non-rule),General Services Dept - State Purchasing Division,January 2016,,How-to guidance for developing best-value RFPs.,58,Digital,Open PDF
7,"Best Value Procurement Guide, Part 2 - The RFP Process",Procurement,Guidance / guide (non-rule),General Services Dept - State Purchasing Division,January 2016,,How-to guidance for running the RFP process through evaluation and award.,30,Digital,Open PDF
8,"Competitive Sealed Proposals for Construction, Facility Maintenance, Services and Repairs (1.4.8 NMAC)",Procurement,State regulation (NMAC rule),General Services Dept - State Purchasing Division,"September 30, 2005",Sections 13-1-67 and 13-1-111 NMSA 1978 (2003 amendments),Uniform procedures for using competitive sealed proposals on construction and facility services.,5,OCR (scanned image),Open PDF
9,State Purchasing Division Code of Ethics,Procurement,Policy statement (non-rule),General Services Dept - State Purchasing Division,,,"Ethical-conduct standards for SPD employees: conflicts of interest, gifts, and use of confidential information.",1,OCR (scanned image),Open PDF
10,Governmental Advertising Rates (1.4.4 NMAC),Procurement,State regulation (NMAC rule),General Services Dept - State Purchasing Division,"February 15, 1999",Section 14-11-7 NMSA 1978,Authorizes GSD to set newspaper rates for legally required public notices.,1,OCR (scanned image),Open PDF
11,FAQs - DoIT Purchasing Consolidated with State Purchasing Division,Procurement,FAQ memo (informational),"General Services Dept (to Cabinet Secretaries); signed Anna Silva, Acting Cabinet Secretary","January 31, 2025",,Explains the consolidation of Dept of Information Technology purchasing under the State Purchasing Division.,3,Digital,Open PDF
12,Quarterly Economic Summary - New Mexico (statewide),Economic,Economic data report,"NM Economic Development Dept - State Data Center (D. Kwon & A. Anaya, Sr. Economists)",January 2026 (covers Q1 FY26),,Statewide matched taxable gross receipts rose $612.1M (2.3%) over the prior quarter and $1.52B (6%) year over year; retail trade was the largest industry at 19%.,4,Digital,Open PDF
13,Quarterly Economic Summary - Bernalillo County,Economic,Economic data report,"NM Economic Development Dept - State Data Center (D. Kwon & A. Anaya, Sr. Economists)",January 2026 (covers Q1 FY26),,"Bernalillo County MTGR was $7.04B, up just $3M (0.04%) from the prior quarter; largest county economy in the state.",4,Digital,Open PDF
14,Quarterly Economic Summary - Catron County,Economic,Economic data report,"NM Economic Development Dept - State Data Center (D. Kwon & A. Anaya, Sr. Economists)",January 2026 (covers Q1 FY26),,"Catron County MTGR rose about $5.5M (34.7%) over the prior quarter, reflecting the sharp swings typical of a very small rural tax base.",4,Digital,Open PDF
15,New Mexico Rule for Small Numbers and Public Data Release,Public Health,Data standard / methodology,NM Department of Health (NM-IBIS),,,Suppress any data cell when the population is under 20 and the count is 1-3; survey estimates need at least 50 respondents to be released.,1,Digital,Open PDF
16,"Metropolitan, Small Metro, Mixed Urban/Rural and Rural New Mexico Counties",Public Health,Reference classification,NM Department of Health (NM-IBIS),November 2014,,Classifies all 33 counties by urbanization. Bernalillo is Metropolitan; Catron is Rural.,1,Digital,Open PDF
